Module,Overall Delta,bn Delta,en Delta,hi Delta
model.layers.0.mlp,-45.27432966313673,-29.931972789115648,-77.31958762886599,-28.57142857142857
model.layers.0.self_attn,-25.81761226827501,-28.911564625850342,-23.711340206185575,-24.82993197278911
model.layers.13.self_attn.k_proj,-3.8770834794398894,-6.122448979591841,-6.529209621993132,1.0204081632653086
model.layers.4.self_attn,-3.2985015311966706,-6.802721088435376,-3.0927835051546424,0.0
model.layers.4.mlp,-2.9700540009818326,-2.040816326530617,-6.529209621993132,-0.34013605442176953
model.layers.18.mlp.down_proj,-1.3617130701077684,-1.7006802721088476,-0.3436426116838476,-2.04081632653061
model.layers.27.mlp.up_proj,-1.2483343853005096,-3.741496598639454,-0.3436426116838476,0.34013605442176953
model.layers.18.self_attn.o_proj,-0.9070294784580426,-1.3605442176870781,0.0,-1.360544217687071
model.layers.22.mlp.gate_proj,-0.6849475185263145,-0.6802721088435391,-1.3745704467354045,0.0
model.layers.13.mlp.act_fn,-0.45585244407040904,-3.0612244897959187,-0.6872852233676952,2.380952380952383
model.layers.27.self_attn.v_proj,0.0035065572620851526,0.34013605442176953,1.0309278350515427,-1.360544217687071
model.layers.22.self_attn.q_proj,0.22909507445589838,0.6802721088435355,0.6872852233676952,-0.6802721088435391
